Android application is debugging.
04-03 09:22:06.867 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll'.
04-03 09:22:06.867 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll.config'.
04-03 09:22:06.868 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/Microcharts/Microcharts.config'.
04-03 09:22:06.870 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll'.
04-03 09:22:06.872 D/Mono    (16129): Image addref Microcharts.Droid[0x98c84b60] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll[0x9ac2e600]: 2
04-03 09:22:06.872 D/Mono    (16129): Prepared to set up assembly 'Microcharts.Droid' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll)
04-03 09:22:06.873 D/Mono    (16129): Assembly Microcharts.Droid[0x98c84b60] added to domain RootDomain, ref_count=1
04-03 09:22:06.874 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Microcharts.Droid.dll.so" not foundLoaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll [External]

04-03 09:22:06.875 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/Microcharts.Droid.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Microcharts.Droid.dll.so" not found
04-03 09:22:06.875 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll'.
04-03 09:22:06.875 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll.config'.
04-03 09:22:06.876 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/Microcharts.Droid/Microcharts.Droid.config'.
04-03 09:22:06.879 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll'.
04-03 09:22:06.882 D/Mono    (16129): Image addref Microcharts.Forms[0x98c84e00] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll[0x9ac2eb00]: 2
04-03 09:22:06.882 D/Mono    (16129): Prepared to set up assembly 'Microcharts.Forms' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll)
04-03 09:22:06.882 D/Mono    (16129): Assembly Microcharts.Forms[0x98c84e00] added to domain RootDomain, ref_count=1
04-03 09:22:06.883 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Microcharts.Forms.dll.so" not found
04-03 09:22:06.884 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/Microcharts.Forms.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Microcharts.Forms.dll.so" not found
04-03 09:22:06.886 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll'.
04-03 09:22:06.886 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll.config'.
Loaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Droid.dll [External]04-03 09:22:06.886 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/Microcharts.Forms/Microcharts.Forms.config'.

04-03 09:22:06.888 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll'.
04-03 09:22:06.893 D/Mono    (16129): Image addref Newtonsoft.Json[0x98c850a0] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll[0xa3f49000]: 2
04-03 09:22:06.893 D/Mono    (16129): Prepared to set up assembly 'Newtonsoft.Json' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll)
04-03 09:22:06.893 D/Mono    (16129): Assembly Newtonsoft.Json[0x98c850a0] added to domain RootDomain, ref_count=1
04-03 09:22:06.895 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Newtonsoft.Json.dll.so" not found
04-03 09:22:06.895 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/Newtonsoft.Json.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Newtonsoft.Json.dll.so" not found
04-03 09:22:06.896 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll'.
04-03 09:22:06.896 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll.config'.
04-03 09:22:06.898 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/Newtonsoft.Json/Newtonsoft.Json.config'.
04-03 09:22:06.900 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Plugin.CurrentActivity.dll'.
04-03 09:22:06.903 D/Mono    (16129): Image addref Plugin.CurrentActivity[0x98c84f80] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Plugin.CurrentActivity.dll[0xa3f49500]: 2
Loaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.Forms.dll [External]04-03 09:22:06.904 D/Mono    (16129): Prepared to set up assembly 'Plugin.CurrentActivity' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Plugin.CurrentActivity.dll)

04-03 09:22:06.904 D/Mono    (16129): Assembly Plugin.CurrentActivity[0x98c84f80] added to domain RootDomain, ref_count=1
04-03 09:22:06.905 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Plugin.CurrentActivity.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Plugin.CurrentActivity.dll.so" not found
04-03 09:22:06.905 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/Plugin.CurrentActivity.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Plugin.CurrentActivity.dll.so" not found
04-03 09:22:06.906 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Plugin.CurrentActivity.dll'.
04-03 09:22:06.906 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Plugin.CurrentActivity.dll.config'.
04-03 09:22:06.907 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/Plugin.CurrentActivity/Plugin.CurrentActivity.config'.Loaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Newtonsoft.Json.dll [External]

